task_1,translated
1,"Hey Wagh, a liona na ray your ... Then fighting the queen, then fighting and won. "" Was the fire on fire, you .. and these brokers abp my walls. # "
1,"It is not begging, it is not a good way to do this, you have a human beings. "
1,Have you ever seen India's Muslims burning Pakistan's flag? Have you ever seen the Muslims of India burning Hafiz Saeed or a terrorist? Have you ever heard Anna Hazare speak against Pakistan? Have you ever seen Sonia Rahul speak against Pakistan? 
1,Answer will definitely. But before the election. 
0,"Congratulations, whether it is in Delhi, whether it is a government, whether it is a Hindu of Delhi and there are nominal boys with a six-packed. And he is the government of Hijra. The place has made, the PM also remains there. "
0,"If you have to see what your ""failed"" person of his ""field"", then see the tweeter handle of ""Payal Rohatgi"". Believe it will increase ""trust"" in your ""karma"". "
0,"Before the match, some people were dancing on saffron jersey "
1,"I congratulate the Election Commission, and every person associated with the election process and bowed to India's aware voters: PM @Narendramodi ji. #Mannkibaat "
1,"Nowadays, the younger generation like us also increases the beats of the #panchamda's music heart! If you have a velvet voice of #kishoreda, then what to say! But this is in the voice of Mallika @Mangeshkarlata G! Very magnificent, wonderful "
1,The heart is alive. 
1,Climbing chest on the chest ...... 10 sheets taken in the bowl ... 
0,Why are you burning up to 2 trucks? 
1,See no ... # Pig # How is the hunt surrounded! 'Just take care' - # Balasaheb Thackeray #templeterrorattack 
1,"BJP has conquered 12064 booths out of the total 13,816 booths of Delhi. The people of Delhi are ready to feed lotus in the assembly elections - Mr. @Manojtiwarimp "
1,Congratulations @ Yogita_singh11 @ Yogita_singh11 @ Yogita_singh11 
1,Will the Modi government come true to the expectations of the general public during their second term? See 'Modi's budget' from 7 pm # modinomics19 from 7 a.m. 
0,Why is not the only victim of the Hindus in Maulana's lund? 
1,"Kurmi Society has forgotten the matter of my political toe, I applied reservation to the poor class, which can be uplifted this class and is not trapped in superstition. Shahuji Maharaj, "
0,"Does its Bend come anybody to use the API of HERE MAPS? The strange thing is made by Bhadavo. Do not work, Bhainchod "
1,New Zealand Masjid I am martyred Allah's jannat and let the house give the Sabain Jamil 
1,Respected National President G # You are all of us # encouraged the National President G # you are all of us # ... 
1,Not going to pass ... 'Rather' is the name of the memorable moments ... 'Zindagi' ..... # Helogind # auspicious 
0,"They do not know anything before Vande Mataram, all the thumb impressions appear. "
1,It will be all around the people who see all this is ... 
1,"Now, Sahara Tera Tera Ova, no one is my son, accept your daughter's application. Do not thank me at the moment "
1,"Yes are absolutely right sir. To mislead the public, sometimes # tea sold, sometimes # pakoda, then # backward, sometimes themselves say # lowest By scam of rupees, dig the roots of the nation ..... "
1,Under Display Selfie Camera and Triple Rear Camera ... (@iamhacker) 
0,"Whoever came to my God, this fire will be very straight forward, it should be ahead of God. It is a monster that is the monster to give power to the Isvar people to Suresh Chavanke @surehchavhanke you are doing very right. Pig is not understandable "
1,There is no precedent for your patience. There is a lot of thirst on the Muslim lips and there is # Wazu water in heroes! # G__ha #Ramadan 
1,The journey is a little longer .. But it is certain !!! # Do you understand ??? # Hindi_bhat # Shubh_ratri # Zamar 
0,"Which color is there in the humble? Shantity will also tell you, but you will not be spoken. "
1,It is still watching @ 
0,300 Mulla temple breaks in Delhi and it gives 5 lakhs to Kejriwal Jharkhand's thieves 
1,# The enemy and # should take a look before the dog's breed! 
1,"Riots Mast, Police Batter! #EXTensionSIDIO @SARDANAROHIT: http://bit.ly/chatwithrohit "
1,#Jhansikirani # On the death anniversary of Lakshmibai ji #jaihind #lakshmibai 
1,"In the last decade, the creation of the sequel of #Hindifilms in #Bollywood is increasingly being done that #filmakers are now focusing on sequel films. In fact, whatever sequel came in 2017, Among them almost everyone got great success. "
1,#Aimim President @Asadowaisi ki hidayath par @ ahmedpashaquad3 mla yakutpura and gen.secretary aim aur @_mirzarahmath ne aaj subha zonal commissioner west zone smt harichandana madam se ghmc ki regarding work mulaqat kiye gayi hi tech city opp shilparamam 
1,"RSS worker Rudresh's murder case in Bangalore in 2016. The Supreme Court dismissed the petition of Asim Sharif, Bengaluru District President of Popular Front of India (PFI). Sharif challenged to decide the charge of murder in NIA court "
1,"World CUP: The hundred of #rohitsharma's century, #England defeated by 31 runs, Vijayarath #Engvsind #indvseng # Worldcup2019 "
1,"Proud of @Advashwanidubey ji today forced to take coal from the breath in the Sonbhadra Singrauli area, the 5000 coal trucks are closed, but the intentions are strong enough to close the 5000 coal trucks. "
0,"BJP leader Kailash says to Vijayvargiya journalist, what is your form? The next day the son of this leader beating the market with a wooden wood, in the country, good days can not come now. "
0,"What was it? You are eating a dog, what is the rhythm of others. "
1,"Brother, in your leadership, it is ready to go towards a new advancement and prosperity once you are waiting for 2022 "
1,"A friend should have such a head, which should be excused by friendship, we should go to both the fizzes in both the fizzes ... # Yours "
1,Now scientists have found that third-hand smoking (THS) can also affect any person's respiratory health. This can be done by changes in gene expression. 
0,"Right said that all these journalists will be happy today because these people will be feeling successful in their motive, but I would like to say that you will leave your Ajenda in your ass. "
1,"You are the ideal leader in the country's politics and we all believe that if a person can be considered ideal in politics, then the respected Akhilesh Yadav is! You are special for this! Jai Akhilesh Vijay Akhilesh "
1,"#AmarnathyAtra: Shivling is reaching between strong security, Baba's blizzard's devotee, the beginning of philosophy from today "
1,"@Bjp4India # Pragya is just pretending by the statement of Pragya_thakur, who does not know that the BJP has filled the leader of the first terrorist Nathuram Godse's violent ideology of Azad. @Rhulgandhi @Priyankandhi @Hardikpatel_ @Nadeeminc @ digvijaya_28 "
1,Today's Islamic Pagam Like Share 
1,10 children are to be produced: Witness Maharaj 4 Children are to be born: Sadhvi Prachi 2 Children are to be produced: Baba Ramdev's discourse will give you three years ago: #shahrukhsiddiqui 
1,Get to give Exam from home then it seems to know how many temples in the way and which God belongs to. 
1,"You are the ideal leader in the country's politics and we all believe that if a person can be considered ideal in politics, then the respected Akhilesh Yadav is! You are special for this! Jai Akhilesh "
1,"Shooters today showed a dictatorship to stop the dictatorship and prevented the message of unity with the Muslim brothers, but could not be kept in custody more time, thanks to all the colleagues to introduce unity at such a time. Aven at 9:30 pm Live on the Facebook page "
0,Muslim Matherchod is a humble com. First Maregen Then Sori Behen Chod Mullo 
1,Jaarra Wasim's manager claims to leave Bollywood Facebook post #zayrawasim #Dangalgirl #Bollywood 
1,Confidence is complete .... Preparation of 2024 started now ... see only 22 
1,"They are lifting, but in their favor, there is no need to be raised in the country or the state nor the sensation is being revealed. Why is the silence on the matter of alleged lynching and silence on the matter of media class Mangaru Pahan? Why is the double attitude? # Mob_lunching "
1,# There is no limit to lowness. 
1,The tough comment of the Prime Minister on the sky Vijayvargiya! Look at # One and Akagarah (@minakshikandwal @ nehabatham03) How to report recently of Mumbai (@ Saurabhv99 and @Pankajcreates) Other videos: http://bit.ly/at_videos 
1,Home Minister Amit Shah presented Jammu and Kashmir Reservation Amendment Bill in Rajya Sabha #Homeminister #amithshah #jammuandkashmir 
1,Pregnant women should keep the attention of these things on the sun eclipse. 
1,The Indian cricket team has a big shock. The World Cup has gone out of 2019 due to injury injury in the foot injury. # CricketWorldcup2019 
1,The truth to open eyes Thanks @kapilmishra_ind ji to tell this topic. 
0,"If you do not have time, your mother is not a time, 'Why do you fuck your mother? "
0,Do not ask this Kapil so much that Bhadwa Modi's husband's husband worshiped 
1,My opposition is not from any Hindu. You come there and stay there. 
0,"@injubhai Abe you did not even see it so far, which has been made by Kasab to Lund Wani, his chitch was made. "
1,You can not bring it on the path but Allah also shows the path and knows the same path to al-Quran-28-56 
1,"My dear countrymen, for me and one thing, have to express your gratitude to the people of the world. On June 21 again, once the Yoga Day, three-four-four generations of one family, celebrated Yoga Day by coming together: PM @narendramodi. #Mannkibaat "
1,Tell your desire in the comment section! #Yourspace # BUDGET2019 # ModinOMICS19 
0,What are the other countries of Gaurav Sahab orange who wrote this 
1,Indore High Court allowed to drop that shabby house (Report- @ Reportravish) 
1,"Zayara or Nusrat, where everyone has the right to live with their ""wishes"", and this ""Haq"" has given them a Mullah Maulvi or any ""Pande"" priest, ""Constitution"" of this country. "
0,My aunt's fuck 3s 
0,"Show all this too much @zeenews @abpnewstv @Aajtak This is not a false again, what if Mohammed Shahabuddin was a supporter, then you would have surthed "
0,"Bhosadi is standing on our young Sima and you need water, Delhi's Yamuna river does not look like you "
1,# Kanhaiya Kumar lost # Begusarai seat from a heavy lead of 3 lakh 50 thousand votes. 'Take the freedom' 
1,"'If someone motivates to increase the capacity then understand that it is a positive effort and when someone tries to keep limited, then understand that this is a negative effort.' @ Kishan Sahay "
1,"Today, Shyama Prasad Mukherjee paid the wreath of Shyama Prasad Mukherjee on her Sacrifice Day with our National President Respected Shri Amit Shah, at BJP Headquarters. For the highest sacrifice given for the integrity of the country, the country will always be grateful. "
1,"Box Office: Among the discussions between each side # article15 is the second day's brilliant earnings, learn collection https://abpnews.abplive.in/bollywood/article-15-box-Office-Collection-day-2-1157488 ... @Yushmannk "
0,"Whatever is in Islam, if it is a list of the list, test on Muslims. So 90% will meet Muslims .... # Jayashriram "
1,Stay with 'fire' from the 'fire' of religious hatred #khabardar @ 9 o'clock with @swetasinghat 
1,"More than 100 children in the country are sitting in their life due to #Chamkifever in Muzaffarpur in Bihar, they are celebrating the joy of victory in India's cricket. 80% of the people will not even know the information and some people do not want to know. "
0,My lund has been in Behen's Chut 
0,"Someone asked Yogi, you became cm, yoga, yogi has given a beautiful reply to Bhosadi PM "
1,Dogs should also do this. #dogs 
1,"Kill this hair, we say, we will die with Kanpurian Gutkha spit-spit forever. "
0,When luck only written in the heat .. rubbing ...... 
1,"# 6 Darindo, who has been involved with Asifa, has convinced the court, Insha Allah will be punished. Deepika Singh @deepikasrajawat ji's waista was not possible without his hard work. "
1,"Khaira market, first on Muslims in Bahraich, and then one-sided action of the police. After all, who will do justice? Someone raises the sound for innocent Muslims. @Samajwadiparty @Yadavakhilesh @dimpleyadav @ arisudan11 @mirzainam_ @Yasirs_alig @ aqdas_shaikh_22 "
1,"Inaugurating Tyagi Paper Works Factory in Muzaffarnagar, Shreekki Pethideshwar @Acharyapramodk ji. "
0,#Beinghuman_neverreligious color ... Not Decide ... Who Won The Match ... Color saffron but I will lose every time ...! I Support Indian Team ... But Same Happened ..... i thought #Bleedorange #BleedBlue # CricketWorldcup2019 
0,"After Amit Shah, then you will ask what it did. "
0,Are ye madharchod Log K is in the nature. 
1,"Do not believe # on your # karma .... The amount was also the same as # Ram and # Ravana, but the Nitati gave them # fruits according to their # karma !! # Jai_Sia_Ram_G # Jai_Shree_Mhail # Jai_Shree_Radha_krishna # Good morning # Bazm # Words # Word #mit # Hindi English # Shayari # Ideas "
1,"I started hiding in the bangles, maybe I kissed what he started stinging. Maybe when I filled in lap, I burn me ~ # Sahib 1 # Bangle # Bracelet # Hindi Hindi # Words "
1,"Praising Chirag Paswan, PM Modi said that he participates in the process of Parliament "
1,"Our society is healthy, living prosperous, so every person should be involved in the formation of the nation. This work can be done in today's youth. Modi told us the way the rest is ours, without breathlessness and Hindutva without Hindutva. Is complementary to each other "
1,"In this case, the investigation officer said that Surendra Dhaba is a resident of Chandawali. "
0,"Sadhu enters the penis in your mother's vagina, her semen puts in your mother's tongue and she speaks to the inside, after that the monk goes to your gender and your sister finger the sadhu in the vagina. Didi suppresses the breast and finger in your sister's ass "
1,Crisis is all the pain .. which Sumirai Hanumat Balbira 
1,"Live video of cow murder is made, not because Muslim likes cow's meat but because of us, what will you do? Three divorce, Section 370, similar civilization, Ram temple is hammered today because it falls in danger. "
0,"This Rashidi jehadi's pajama is not yellow today, today the bastard is seeing a big brotherhood. "
1,"The open lock comes in the work repeatedly and does not have to work again on the opening of the hammer. Similarly, open the locks of the concessions, not the hammers of anger but from the key of love. #Good night "
0,Big Matherchod Type Bay 
1,"#NewProfilePic # Moving crazy friends, #cold_drink speaks the alcohol of speaking friends, how many hours are we always stay ahead # friend !! "
1,"The soil is healthy then the farmer enriched. The income of the farmers is increasing with the quality of crops from the Sile Health Card. So far in the country, more than 20.51 million farmers distribute the Sile Health Card. "
1,"These green glass # bangles have increased, but you seem to be beautiful in the simplicity # Hindi________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________ful "
1,"World Cup 2019: India will want to put nakout punch on England, Jones should give advice - Dhoni on number 4 Batting # Worldcup2019 #England #INDIA #Engvind "
1,Baba Saheb had given us the right to struggle ... ?? And today you are struggling with ... 
1,"Once the resistance to reservation, definitely see. #scstreservation @Bhimarmychief, @misspushparaj "
1,Elephant: Your move # dog barked hundred thousand # fuzzy 
1,"Dr. Shyama Prasad Mukherjee's sacrifice will not be wasted. The purposes of the objectives they started, today are dedicated to completing every worker of the Bharatiya Janata Party - Mr. @Manojtiwarimp "
1,"How डरा हुआ मुसलमान is under #Modi regime?    Shahid, the gang leader, his wife (whose identity was not revealed by police), Ramjaani and Sufiyan were arrested in Greater Noida for Stealing Over 100 Cars In Noida. "
0,The hut is a big margin ... It can lie on your mother's sister to the pacer ... 
0,"Your mother is the son of Chodu Bhondi Randi's son, "
0,"You will do this with your sister like you, so you are bouncing mud on the other, you are the yield of prostitution. You think right here. "
0,Bhainchod Some Hindus have also become a broker of Congress. What is the meaning of Bhane Chod Ein Midi or the one who can not see the difference between Madiji and. 
0,This scrub should be the name of DNA. And it will definitely be trapped in the love jihad of a mul. 
0,"Where did Ravey died, Lougo of your peace dear religion invaded the temple in Chandni Chowk, what was trapped in the neck, candle, and award gang also did not know what happened in the house. The country's traitors "
1,Reservations according to the population of Muslims Bhim Army Chief Chandrasekhar Azad @bhimarmychief @bhimarmy_bem 
1,# Fucking # Friend Video Come On YouTube On YouTube Click Https://youtu.be/prm2zme28ve Forward Your Special Friends Forward Thanksgiving Thank you p / bunzs37fi0z /? utm_source = ig_twitter_share & igshid = 1r1ipm4rw6j82 ... 
1,Tell the brother's scholarship ??? Who ate officers in your government 
1,"Try, there is no sin by speech: @Acharyapramodk Nirvana Monthly Spiritual Magazine (Page 21) "
1,"After heavy rains in #mumbai, water is filled up to the knees on the streets. On Monday, people going to school children and office faced trouble. 13 trains have been canceled by filling water on the railway track. #MumbairainsLive #Mumbairains "
1,* My destination is not to him. 
1,"If Pakistan reaches semi-finals and India wins their next match, then in this situation Pakistan's confusion can be from India. But for that, Australia will have to lose its last match from South Africa. # ICCWORLDCUP2019 # CWC2019 #Indvspak "
0,Who said to bring Bhosadi congratulations in the middle? Then 
0,Pig in Delhi is broken by the terrorists. And the statement of a single AAP dog is not a statement. 
1,"Whenever walking runs. Why did I stop, life is a sweet dream, whenever it walked. Like sun and moon, what? Lost, what? I found, what to say this. Whenever it walked. # Hindi # Bazm by Dwivedi "
1,"Ask #Indveng Veteran #KApildev and #VirenderSehwag Your questions related to today's big collision of #teamindia, which will be shown with your Twitter handle on ABP News continuously from 1 o'clock. @BCCI @CricketWorldCup @VirenderSehwag @ThereAkPildev "
1,"Satish Naman, you were today we are @ anjupra7743 on Father Day "
1,"In this fierce heat, the Kejriwal government has not done anything on the Summer Action Plan - Mr. @Manojtiwarimp "
1,G. Dadaji said that Ekuchali was also a socialist and once the elections were lost. 
0,"Can anybody talk '' Laminating India is okay ""??? # Kanhaiya_kanhihaiyakumar #Modiphirse #Modiaagaya #tukdetukdegang # ElectionResultts2019 "
1,"In DEPTH: Goodbye to Bollywood, know their life and career till now. -Story-till-leaving-the-acting-1158431 ... #zairawaseem #zairawasim #zairaquitsbollywood "
0,"Go to Pakistan who want to go to Pakistan. He is one of the # religions. If we stayed in India, I will kill the terrorists of Pakistan. We will kill them later. We will kill Indian people. Jai Hind Jai Bharat "
0,You too have to be blessed. You do not even have 2 crores. Fucked and died lanka husband @radheramanrm 
1,"BSP Haryana State Incharge / National Executive Member Honorable CP Singh Sir, Birthday Congratulations and Best wishes. You are thousands of years of year after fifty thousand years. My dear sir, who always consider me like a right daughter "
1,"On the PIL, the Supreme Court asked for the questions raised about the technical credibility of EVM and VVPAT. #Reporterdiary of Sanjay Sharma (@Mewatisanjoo) Other Video: http://bit.ly/indiatodaySocial ... "
0,"The snake, which is to penetrate into Imran Khan's ass, will go to Islamabad yesterday and tell him and the whole Pakistan next time if our plane was mistakenly sent our country to say that Bhanchod! Yes and Veer Hazare will come to Sukhoi or Rafal next time! "
0,PART 3 Desi Lola Bhabhi Sister-in-law's Fucking 18 Years 5 
0,I want to ask # Giriraj_ Singh # Kanhaiya_ ... There is no shortage in freedom 
1,Chants of 'Jai Sri Ram' as Owaisi takes oath: AIMIM chief responds with 'Jai Bhim' @thenewsminute  @asadowaisi 
0,Then Bhadwa Salman and Shahrukh are sucking a mother in Bollywood 
1,"Priyanka Chopra started looking at her husband by wearing small clothes, some people began to remind Priyanka's Indian culture, Hey brother, you are getting so upset! Priyanka is running in the color of his in-laws, he has to take care of the in-laws' culture. #Priyankachopra "
1,Why is it urged in the temple in the parking quarrel in Delhi? LIVE: http://bit.ly/at_livetv with #dangal @Sardanarohit 
1,"When the husband came home from the office ...... the wife was sleeping and her legs had a serpent horoscope sitting ......... Husband: # Take # Dance ....... # Dancing .... Nagin: # Fucker ......! I have not been dancing, I have come to touch # phase .......... Guru # "
1,"World CUP 2019: Nicholas Puran Bole, 'Try to get lost respect against India' https://www.wahcricket.com/news/world-cup-2019-nicholas-pooran-says-will-try-to-restore -Lost-pride-in-West-Indies-Cricket-In-India-Series-138815 ... "
1,There was a prize to ask questions. Asking the question to wash the hand a little. 
1,How many of 10 will you give Anjana Om Kashyap's journalism? @ Rana11639322 @ anjupra7743 @Karanwaltanu 
0,Seven days of fuck part 1 
1,"# Dhruv_The killing is not of Hindu or Muslim but humanity is killed, strict action should be taken against the Katil Darindo. #DhruVtyagi "
1,CM @dev_fadnavis arrived in BMC's control room - #MumbairainsLiveUpdates #MumbairainLive #Mumbairain https://zeenews.india.com/hindi/live-tv 
0,Congratulations to #Eng and Chudai of #pakistan 
1,"Jia-I had forgotten all my friends, but if you saw a movie then all remembered. Gold- Which movie? Jia - # Bastard "
1,"Modi government meeting 2's first parliamentary party To join the BJP parliamentary party meeting, Prime Minister @narendramodi reached the Parliament Building Complex. Almost all MPs of BJP including Home Minister @amitshah Ex present @abpnewshindi "
0,Raised the 7-year-old child in Delhi and killed raped. A peace of Mohammed Imran's name Now said he died. This is the law of democracy @kyunbtaun @ anshika_pandit5 @ banna_sa7773 
1,On the issue of Statue of Unity @Sambitswaraj and @Syedasimwaqar. With #Aarpaar @Amishdevgan @ News18India 1/2 @asadowaisi 
1,Do some posts of your government 
0,So you shouted everyday or not all this. 
1,"The incident of Bulandshahr is no surprise, ## Bastard type leaders have politically have something that is not only from the development of development! Administration keeps working water! "
1,Why is the 'intellectual gang' silent attack in Delhi? #DNA with at 9 o'clock @Sudhirchaudhary 
0,"Why do you call Chadarmod Mahmud Gajnavi Form, in the debate, Matherchod came to the banks. "
1,"The seashore of a Ash was hidden behind the eyelids, the ocean of a love was settled within this heart, there were some strangers. We came to the world who came to the world, the heart was so fragile that people too broken heart Was breaking, we went to eradicate myself in a love. # Parag_dream # Hindi_ "
1,Why Socialist Arrandation became accustomed to Air Mercyes 
0,"Like a pig, children have to arrange for them to arrange the goods for singers. ****** "
1,Apne Mobile PE Islami Post Pane Ke Liye Whatsapp Ke Link PE Click Karen | 
0,"It seems to see that # Rahul ji is more than # # loyal and # patriotic # of the country # Dog # Unit # Dogs are expected at least these # dogs # patriotism only from your # patriotism # By doing comparison, will it be cold inside? "
0,"Acharya of Abe Bhosdike When Modiji left his wife, you do not pay attention that this husband is the decision of the personal life of the wife "
1,"Various reception of the #Aimim Jharkhand team in Jamshedpur, Majlis will soon wake up in his entire Jharkhand. Jharkhand team of all the people of Jamshedpur present and thank you very much. @asadowaisi @syedasimwaqar "
1,"In view of the tightening of the Prime Minister in the BJP parliamentary party, the party has increased the stir on this issue. "
1,"The integration of government general insurance companies will need capital investment of Rs 13,000 crore https://abpnews.abplive.in/business/13000-crore-rupees-needed-for-integration-of-government-insurance-ompanies-1157578 ... "
1,"5 million Muslims come to the dargah of Ajmer, only 300 police people, for Amarnath Yatra of 2 lakh Hindus, 80 thousand commandos, paramilitary fores, and crores are being installed # Who is # ? "
1,Look at Mumbai's 'tomorrow' 19 stories of '19 at 6:30 pm @zeenews 
1,"If you were a government, you used to comment on the day. Now the law and order is not being seen, Dhritarashtra is sitting in the state building. "
0,"Ram .... is a life, Ram ..... is compassion, Ram is limited, ""murder"" in the name of Ram ""monsters"" this Virat religion is ""defamed"" and ""small"" vote Do "
1,"Then there will be a swing of Savan, Pangs will be able to get all the songs. Kavita_kosh @kuchshabd "
0,"Mandarsod, who will be able to give your mother, "
1,"Mani Shankar Aiyar refused to give any new statement, so Manashankar repeated the old statement again, # lowly "
1,Bhai Mere Dost Sabhi Logon Ko Pata Hona Chahiye Banaras Men Ak Bahot Badi Doodh Ki Factory Dali Gay Hi Kisi Gujarati Dovara AB Jab Saher Men Gaay Bainsh Rahegi to Unka Doodh Kaishe Bikega Pure Saher Men Dost 
1,"#Solareclipshe advice to use the scientific pin hole to see. Pin hole can be easily made in rural areas. Apart from this, many certified goggles are available in the market to see the sun eclipse. "
1,Kartarpur Corridor: Between India-Pakistan can be between 11 to 14th July 
1,Who will live or laugh at this time; But the history will always remember that 1 person was fighting alone the whole opposition at 543 seats. 
1,"Light Ambedkar and Asadowauddin Owaisi @ASadowaisi showed their income to the secular Voto contractors in Maharashtra, received three times votes by the vote for the former CM and realized every seat that we also give our right to our vote. It is time to stand together "
1,Someone is saying #akashvijayvargiya actually cricket player was not involved in the World Cup 
1,"Tea, drinking, quarters are doing. "
1,Speak the attack on the law system of UP and do the job of giving it to your legislators on every block at the District Headquarters. 
1,# CWC19 #Indvban will reach the semi-finals by dusting Bangladesh. @Bcci @bcbtigers https://www.wahcricket.com/news/world-cup-2019-match-preview-of-india-and-bangladesh-match-from-birmingham-138795 ... 
0,"B like my father who never forced anything for he knew I was worth nothing, he gave me my liberty to decide my life saying those golden 4 words     'कुछ तो करलेना भोसडीके' "
1,Jai Bhole Nath ji .. Har Har Mahadev 
0,"Gobi Gobi ji remained unemployed, but when the unemployed girls ask for a job, they do not miss the sticks like enemies ... !! @AacharyasahiIL @ Badansi59019507 @ ANJUPRA7743 @ RANA11639322 @Sharkbhagat @ amitaar21 "
1,"Anurag Kashyap's 'New Company, New Film, New Beginning' @ Anuragkashyap72 Through Happily Sir "
0,Guruji today gives full abuses in Bindas Bol 
0,"All the watchmakers are on Twitter, then Nirav Modi is in London and Mehul's attitude is in Antigua. #Chaukidarchorhai #chorhichowkidar #chornahinphirse "
0,भोसडीके corruption is corruption!!! Where the f*** does caste comes into play??? 
1,"The truth of Jammu and Kashmir, who was hiding from us with the full true Kapil ji of Mufti and Abdullah's lies, which is the compulsion that the temporary act is being carried out today It is necessary ... Jai Hind Jai @Kapilmishra_ind "
1,"The burden of the world is to take away the heart, the small life is giving laughing .... Radhe Radhe Jai Shri Krishna Friends @ Yogeshsahu555 "
0,You keep your gutter 
1,Do you also think that @chaukidarhichor? Tell me in the comment ... 
1,"If he removed one out of 10, then only 0 will survive "
1,@Mishrasanheev today is missing a lot of great ultimate knowledgeable Manishankar Aiyar ji ... you are not aware of diamond @ diamond @narendramodi # lowly @amitshah @sambitswaraj @rsprasad @rajnathsingh @ManojtiWarimp @myogiadityanath @smritiirani @arunjaitley @gen_vksingh @ Bjp4india @rssorg 
1,The national convention of the party will be called soon to seal this decision 
1,Congress party's national president Mr. Rahul Gandhi today warmly congratulating her birthday and best wishes to them long and healthy life. 
0,Girl took her boyfriend's Lund 63 SEC http://xv.info/%E0%A4%b2%E0%A5%9C%E0%A4%95%E0%A5%80-%E0%A4% B8% E0% A5% 8B% E0% A4% A4% E0% A5% 87-% E0% A4% B9% E0% A5% 81% E0% A4% 8F-% E0% A4% 85% E0% A4% AA% E0% A4% A8% E0% A5% 87-% E0% A4% AC% E0% A5% 89% E0% A4% AF% E0% A4% AB% E0% A5% 8D% E0% A4% B0 -2/ … 
1,# CWC19 #Indveng deliberately defeated Kapil Dev by Kapil Dev responded to Pakistani cricketers. @Therealkapildev @Therealpcb @bcci https://www.wahcricket.com/news/world-cup-2019-Legend-kapil-dev-respond-to-former-pakistan-cricketers-statement-138653 ... 
0,"If 370 and 35A Hats, then where will Kashmiri Muslims live - Omar Abdullah I will tell Bhosadi, all of them will be in their form. "
1,Rahul Gandhi discusses the political status and security of Jammu and Kashmir #Rhulgandhi https://abpnews.abplive.in/india-news/delhi-rahul-gandhi-discusses-political-security-Situation-with-jammu-and- Kashmir-Leaders-1158234 ... 
1,I run away from his ah Betting music with a knock !! # Hindi # Witch 
1,"Humble tribute on the sacrifice day of Great Veerangna Rani # Laxmibai, proud of Indian Vasundhara from its wonderful bravery and power @Rhulgandhi @ priyankac19 @Priyankandhi @ Girish663 @incuttarakhand "
0,Keep it in the middle of the middle 
1,"I can tell patience written on my huto, I have not considered any condition of Dariya, Mere Honto PE Likha Sabr Bataa Sakta Hai Tujhe, Maine Dariya Ki Koi Bhi Shart Nahi Maani Hai, Regards "
1,"The reason took a mother's red is just so much that the Muslim was. # Tabaraj_ansari said, ""Jayashriram was again killed? "
0,"Matherchod served in your mother's Bhosade, then it will be possible to earn money, now it seems that the path of terror is left to keep yourself safe. "
1,Happy Birthly Doctor @Drharshvardhan ji becoming a central health minister. 
1,"Akash Vijayvargiya while making a wonderful batting .. Get sixes to kill his batting of Indore Municipal Corporation. His father, Kailash Vijayvargiya is playing with the Bengal team nowadays. "
1,"The Forest Department, who was shattered by the cut trees, is written on the truck and truck of Chhattisgarh, all of us are involved in the murder of Kudrat, but not only poisonous and increased in these winds. "
1,"Do not duplicate heroines, but do not have to imitate Bollywood heroines. "
1,"The File of 1984 Sikh Riots will open again - When Amitshah Sir Godhra will open the riots, "
1,"When someone does not listen to your police station. Complain to Namo App, you will reach your whole time. The government is the new officer, now the new thing has passed. Do not tweet at #NoOneForhindu. #NamoApp Used on your phone. "
1,"Survivor Sadness Samasan Samasan Sadness Sadness :. Bharath-: The things that are not in their right are all sad and what is in your right is all happiness. In essence, this is the symptom of happiness and grief. Good morning Jai Hind Jai India "
1,"There has been so alone in loneliness that silence is now silent !! Now everyone is angry with the time for a few moments! The colorful tears are also silent today, it is also angry with the colorful tear. # Hindi # Word # loneliness "
0,These Bhosadaks are still running the ashram after so much 
0,A swine @lambaalka @arvindkejriwal is taking others away from Delhi 
1,One question- What is the MP candidate whose defeat is more happy .. ??? I am very happy with the necklace # Kanhaiya_kumar ... and you .. ??? @rajanandbjp @ bjp4india 
1,"Bangladesh's fantastic return, India stopped 314 runs #indvban # CWC19 "
0,"There is also a limit of bear. You are very happy to talk to Jesse. The birth of a lot of Halala, the birth of the son, Do not get anything like you for the upper society "
1,Saga Army Chandra Chandrasekhar Azad Ravan was announced about the mosque in Indirapuram of Ghaziabad. Detane took @bhimarmychief 
1,"# Kalpana_kro_ki # 44_sanikon_ki_jagh_aj_44_ptthrbaj_mare_jate what Sale_ye_award_wapasi_gang # # # bastard human rights , # Dogle_wampnthi bugs are similar silence ! He has died and there would have been a fire in the country. Now whatever you say in their favor to be shot #Pulwama #pakistannahisudhrega "
0,"# Saheb also makes a lot of money on the statue of Gandhi, and the Ghost #Savarkar of Godse's companions and English rule is also called Veer, Clear Stand. Open to Godse or Gandhi "
1,This is the Digital Signboard at New Delhi Railway Station. @Piyushgoyal @rilwayseva @railminindia This decent is not less than any tamper. Please try to repair as soon as possible. Gratitude 
1,The mistake was your or what was our difference ...? After separation then both were crying 
1,"This is a big chance for SP, to win the hearts of the Dalit brothers, there is no hope of Mayawati to Dalit brothers. Akhilesh Yadav should also pay attention to the small castes with OBC, give them invitation to come to his party. Then the election of 2022 will win for Dalit-Backward. "
1,"#Skon's Rath Yatra will be the chief guest #TMC MP Nusrat, where said, 'I was secular, I am "
